index,Price
2001-01-02,27.21
2001-01-03,28.0
2001-01-04,28.14
2001-01-05,27.95
2001-01-06,27.95
2001-01-07,27.95
2001-01-08,27.32
2001-01-09,27.64
2001-01-10,29.48
2001-01-11,29.41
2001-01-12,30.05
2001-01-13,30.05
2001-01-14,30.05
2001-01-15,30.05
2001-01-16,30.29
2001-01-17,29.6
2001-01-18,30.45
2001-01-19,32.19
2001-01-20,32.19
2001-01-21,32.19
2001-01-22,32.19
2001-01-23,29.57
2001-01-24,29.05
2001-01-25,29.36
2001-01-26,29.77
2001-01-27,29.77
2001-01-28,29.77
2001-01-29,29.06
2001-01-30,29.06
2001-01-31,28.66
2001-02-01,29.82
2001-02-02,31.19
2001-02-03,31.19
2001-02-04,31.19
2001-02-05,30.55
2001-02-06,30.35
2001-02-07,31.27
2001-02-08,31.59
2001-02-09,31.03
2001-02-10,31.03
2001-02-11,31.03
2001-02-12,30.51
2001-02-13,30.36
2001-02-14,29.71
2001-02-15,28.8
2001-02-16,29.16
2001-02-17,29.16
2001-02-18,29.16
2001-02-19,29.16
2001-02-20,28.58
2001-02-21,28.53
2001-02-22,28.82
2001-02-23,29.04
2001-02-24,29.04
2001-02-25,29.04
2001-02-26,28.42
2001-02-27,28.13
2001-02-28,27.39
2001-03-01,27.62
2001-03-02,27.84
2001-03-03,27.84
2001-03-04,27.84
2001-03-05,28.6
2001-03-06,28.32
2001-03-07,29.0
2001-03-08,28.39
2001-03-09,28.01
2001-03-10,28.01
2001-03-11,28.01
2001-03-12,28.0
2001-03-13,27.59
2001-03-14,26.41
2001-03-15,26.55
2001-03-16,26.74
2001-03-17,26.74
2001-03-18,26.74
2001-03-19,26.15
2001-03-20,25.96
2001-03-21,26.8
2001-03-22,26.54
2001-03-23,27.3
2001-03-24,27.3
2001-03-25,27.3
2001-03-26,27.48
2001-03-27,27.75
2001-03-28,26.31
2001-03-29,26.32
2001-03-30,26.29
2001-03-31,26.29
2001-04-01,26.29
2001-04-02,25.59
2001-04-03,26.19
2001-04-04,27.12
2001-04-05,27.26
2001-04-06,27.06
2001-04-07,27.06
2001-04-08,27.06
2001-04-09,27.28
2001-04-10,28.48
2001-04-11,28.18
2001-04-12,28.25
2001-04-13,28.25
2001-04-14,28.25
2001-04-15,28.25
2001-04-16,28.79
2001-04-17,28.24
2001-04-18,27.95
2001-04-19,27.82
2001-04-20,27.28
2001-04-21,27.28
2001-04-22,27.28
2001-04-23,27.61
2001-04-24,26.86
2001-04-25,27.29
2001-04-26,28.44
2001-04-27,28.27
2001-04-28,28.27
2001-04-29,28.27
2001-04-30,28.46
2001-05-01,28.94
2001-05-02,27.8
2001-05-03,28.45
2001-05-04,28.36
2001-05-05,28.36
2001-05-06,28.36
2001-05-07,27.77
2001-05-08,27.39
2001-05-09,28.23
2001-05-10,28.52
2001-05-11,28.55
2001-05-12,28.55
2001-05-13,28.55
2001-05-14,28.71
2001-05-15,28.98
2001-05-16,28.86
2001-05-17,28.91
2001-05-18,29.91
2001-05-19,29.91
2001-05-20,29.91
2001-05-21,29.98
2001-05-22,29.74
2001-05-23,29.58
2001-05-24,28.41
2001-05-25,28.38
2001-05-26,28.38
2001-05-27,28.38
2001-05-28,28.38
2001-05-29,28.66
2001-05-30,28.55
2001-05-31,28.37
2001-06-01,27.93
2001-06-02,27.93
2001-06-03,27.93
2001-06-04,28.13
2001-06-05,28.24
2001-06-06,27.72
2001-06-07,27.75
2001-06-08,28.33
2001-06-09,28.33
2001-06-10,28.33
2001-06-11,29.04
2001-06-12,29.18
2001-06-13,28.84
2001-06-14,29.04
2001-06-15,28.51
2001-06-16,28.51
2001-06-17,28.51
2001-06-18,27.55
2001-06-19,27.48
2001-06-20,26.5
2001-06-21,26.56
2001-06-22,26.83
2001-06-23,26.83
2001-06-24,26.83
2001-06-25,27.25
2001-06-26,26.98
2001-06-27,25.61
2001-06-28,25.56
2001-06-29,26.25
2001-06-30,26.25
2001-07-01,26.25
2001-07-02,25.95
2001-07-03,26.24
2001-07-04,26.24
2001-07-05,27.02
2001-07-06,28.21
2001-07-07,28.21
2001-07-08,28.21
2001-07-09,27.59
2001-07-10,27.49
2001-07-11,27.11
2001-07-12,26.8
2001-07-13,26.59
2001-07-14,26.59
2001-07-15,26.59
2001-07-16,26.06
2001-07-17,25.57
2001-07-18,24.89
2001-07-19,24.7
2001-07-20,25.59
2001-07-21,25.59
2001-07-22,25.59
2001-07-23,26.12
2001-07-24,26.31
2001-07-25,26.84
2001-07-26,26.73
2001-07-27,27.02
2001-07-28,27.02
2001-07-29,27.02
2001-07-30,26.63
2001-07-31,26.35
2001-08-01,26.77
2001-08-02,27.71
2001-08-03,27.62
2001-08-04,27.62
2001-08-05,27.62
2001-08-06,27.74
2001-08-07,27.94
2001-08-08,27.54
2001-08-09,27.64
2001-08-10,28.05
2001-08-11,28.05
2001-08-12,28.05
2001-08-13,27.82
2001-08-14,28.01
2001-08-15,27.56
2001-08-16,27.4
2001-08-17,26.68
2001-08-18,26.68
2001-08-19,26.68
2001-08-20,27.18
2001-08-21,27.91
2001-08-22,26.37
2001-08-23,26.63
2001-08-24,26.9
2001-08-25,26.9
2001-08-26,26.9
2001-08-27,26.67
2001-08-28,27.17
2001-08-29,27.05
2001-08-30,26.55
2001-08-31,27.2
2001-09-01,27.2
2001-09-02,27.2
2001-09-03,27.2
2001-09-04,26.93
2001-09-05,26.95
2001-09-06,27.58
2001-09-07,28.03
2001-09-08,28.03
2001-09-09,28.03
2001-09-10,27.63
2001-09-11,27.63
2001-09-12,27.63
2001-09-13,27.63
2001-09-14,29.53
2001-09-15,29.53
2001-09-16,29.53
2001-09-17,28.81
2001-09-18,27.7
2001-09-19,26.72
2001-09-20,26.59
2001-09-21,25.97
2001-09-22,25.97
2001-09-23,25.97
2001-09-24,22.01
2001-09-25,21.81
2001-09-26,22.38
2001-09-27,22.74
2001-09-28,23.43
2001-09-29,23.43
2001-09-30,23.43
2001-10-01,23.28
2001-10-02,22.79
2001-10-03,22.08
2001-10-04,22.63
2001-10-05,22.39
2001-10-06,22.39
2001-10-07,22.39
2001-10-08,22.45
2001-10-09,22.48
2001-10-10,22.53
2001-10-11,23.34
2001-10-12,22.5
2001-10-13,22.5
2001-10-14,22.5
2001-10-15,22.29
2001-10-16,22.0
2001-10-17,21.81
2001-10-18,21.31
2001-10-19,21.83
2001-10-20,21.83
2001-10-21,21.83
2001-10-22,21.76
2001-10-23,21.85
2001-10-24,22.33
2001-10-25,22.01
2001-10-26,22.03
2001-10-27,22.03
2001-10-28,22.03
2001-10-29,22.15
2001-10-30,21.87
2001-10-31,21.18
2001-11-01,20.39
2001-11-02,20.18
2001-11-03,20.18
2001-11-04,20.18
2001-11-05,20.02
2001-11-06,19.92
2001-11-07,20.09
2001-11-08,21.17
2001-11-09,22.22
2001-11-10,22.22
2001-11-11,22.22
2001-11-12,21.23
2001-11-13,21.67
2001-11-14,19.74
2001-11-15,17.45
2001-11-16,18.03
2001-11-17,18.03
2001-11-18,18.03
2001-11-19,17.72
2001-11-20,19.15
2001-11-21,18.96
2001-11-22,18.96
2001-11-23,18.96
2001-11-24,18.96
2001-11-25,18.96
2001-11-26,18.69
2001-11-27,19.48
2001-11-28,19.22
2001-11-29,18.62
2001-11-30,19.44
2001-12-01,19.44
2001-12-02,19.44
2001-12-03,20.09
2001-12-04,19.65
2001-12-05,19.49
2001-12-06,18.54
2001-12-07,19.04
2001-12-08,19.04
2001-12-09,19.04
2001-12-10,18.37
2001-12-11,18.08
2001-12-12,18.36
2001-12-13,18.12
2001-12-14,19.23
2001-12-15,19.23
2001-12-16,19.23
2001-12-17,19.22
2001-12-18,19.36
2001-12-19,19.8
2001-12-20,19.28
2001-12-21,19.62
2001-12-22,19.62
2001-12-23,19.62
2001-12-24,19.62
2001-12-25,19.62
2001-12-26,21.27
2001-12-27,20.9
2001-12-28,20.41
2001-12-29,20.41
2001-12-30,20.41
2001-12-31,19.84
